Species,Individual,DateTime,Trap,Date,Pack,Period
Dingo,UOM2002,4/04/2022 9:13,PS6,4/04/2022,MB,During
Dingo,UOM2002,4/04/2022 16:19,PS6,4/04/2022,MB,During
Dingo,UOM2002,9/04/2022 23:44,PS6,9/04/2022,MB,During
Dingo,UOM2002,11/04/2022 3:27,PS11,11/04/2022,MB,During
Dingo,UOM2002,11/04/2022 18:34,PS9,11/04/2022,MB,During
Dingo,UOM2002,13/04/2022 17:37,PS14,13/04/2022,MB,During
Dingo,UOM2002,13/04/2022 22:02,PS6,13/04/2022,MB,During
Dingo,UOM2002,16/04/2022 2:20,PS11,16/04/2022,MB,During
Dingo,UOM2002,18/04/2022 3:44,PS5,18/04/2022,MB,During
Dingo,UOM2002,22/04/2022 8:07,PS11,22/04/2022,MB,During
Dingo,UOM2002,22/04/2022 17:43,PS14,22/04/2022,MB,During
Dingo,UOM2002,25/04/2022 18:45,PS11,25/04/2022,MB,During
Dingo,UOM2002,25/04/2022 20:39,PS14,25/04/2022,MB,During
Dingo,UOM2002,29/04/2022 8:03,PS11,29/04/2022,MB,During
Dingo,UOM2002,2/05/2022 15:57,PS6,2/05/2022,MB,During
Dingo,UOM2002,4/05/2022 14:29,PS8,4/05/2022,MB,During
Dingo,UOM2002,7/05/2022 8:11,PS9,7/05/2022,MB,During
Dingo,UOM2002,8/05/2022 10:37,PS8,8/05/2022,MB,During
Dingo,UOM2002,8/05/2022 17:49,PS7,8/05/2022,MB,During
Dingo,UOM2002,13/05/2022 11:08,PS14,13/05/2022,MB,After
Dingo,UOM2002,15/05/2022 15:34,PS14,15/05/2022,MB,After
Dingo,UOM2002,18/05/2022 17:20,PS9,18/05/2022,MB,After
Dingo,UOM2002,23/05/2022 11:11,PS6,23/05/2022,MB,After
Dingo,UOM2002,29/05/2022 16:20,PS6,29/05/2022,MB,After
Dingo,UOM1701,11/04/2022 8:42,PS5,11/04/2022,MB,During
Dingo,UOM1701,18/02/2022 6:20,PS11,18/02/2022,MB,Before
Dingo,UOM1701,18/02/2022 7:13,PS13,18/02/2022,MB,Before
Dingo,UOM1701,18/02/2022 9:06,PS14,18/02/2022,MB,Before
Dingo,UOM1701,22/02/2022 7:25,PS7,22/02/2022,MB,Before
Dingo,UOM1701,25/02/2022 8:55,PS12,25/02/2022,MB,Before
Dingo,UOM1701,26/02/2022 18:20,PS11,26/02/2022,MB,Before
Dingo,UOM1701,5/03/2022 9:50,PS12,5/03/2022,MB,Before
Dingo,UOM1701,6/03/2022 5:54,PS13,6/03/2022,MB,Before
Dingo,UOM1701,10/03/2022 17:20,PS14,10/03/2022,MB,Before
Dingo,UOM1701,12/03/2022 9:04,PS7,12/03/2022,MB,Before
Dingo,UOM1701,14/03/2022 19:48,PS7,14/03/2022,MB,Before
Dingo,UOM1701,16/03/2022 2:36,PS11,16/03/2022,MB,Before
Dingo,UOM1701,16/03/2022 21:07,PS11,16/03/2022,MB,Before
Dingo,UOM1701,18/03/2022 3:08,PS8,18/03/2022,MB,Before
Dingo,UOM1701,21/03/2022 0:40,PS14,21/03/2022,MB,Before
Dingo,UOM1701,21/03/2022 2:26,PS11,21/03/2022,MB,Before
Dingo,UOM1701,22/03/2022 6:57,PS12,22/03/2022,MB,Before
Dingo,UOM1701,22/03/2022 19:01,PS14,22/03/2022,MB,Before
Dingo,UOM1701,22/03/2022 20:49,PS11,22/03/2022,MB,Before
Dingo,UOM1701,25/03/2022 5:43,PS11,25/03/2022,MB,Before
Dingo,UOM1701,25/03/2022 7:03,PS13,25/03/2022,MB,Before
Dingo,UOM1701,26/03/2022 8:01,PS9,26/03/2022,MB,Before
Dingo,UOM1701,26/03/2022 12:12,PS12,26/03/2022,MB,Before
Dingo,UOM1701,28/03/2022 18:22,PS9,28/03/2022,MB,During
Dingo,UOM1701,30/03/2022 23:52,PS11,30/03/2022,MB,During
Dingo,UOM1701,3/04/2022 1:10,PS6,3/04/2022,MB,During
Dingo,UOM1701,3/04/2022 19:08,PS6,3/04/2022,MB,During
Dingo,UOM1701,3/04/2022 19:45,PS6,3/04/2022,MB,During
Dingo,UOM1701,4/04/2022 17:10,PS9,4/04/2022,MB,During
Dingo,UOM1701,5/04/2022 19:29,PS6,5/04/2022,MB,During
Dingo,UOM1701,6/04/2022 20:06,PS6,6/04/2022,MB,During
Dingo,UOM1701,8/04/2022 20:37,PS6,8/04/2022,MB,During
Dingo,UOM1701,9/04/2022 23:45,PS6,9/04/2022,MB,During
Dingo,UOM1701,11/04/2022 8:42,PS5,11/04/2022,MB,During
Dingo,UOM1701,12/04/2022 2:47,PS6,12/04/2022,MB,During
Dingo,UOM1701,13/04/2022 17:37,PS14,13/04/2022,MB,During
Dingo,UOM1701,13/04/2022 18:44,PS11,13/04/2022,MB,During
Dingo,UOM1701,13/04/2022 22:12,PS6,13/04/2022,MB,During
Dingo,UOM1701,14/04/2022 11:17,PS5,14/04/2022,MB,During
Dingo,UOM1701,14/04/2022 18:45,PS6,14/04/2022,MB,During
Dingo,UOM1701,18/04/2022 10:18,PS6,18/04/2022,MB,During
Dingo,UOM1701,18/04/2022 23:37,PS5,18/04/2022,MB,During
Dingo,UOM1701,19/04/2022 19:25,PS6,19/04/2022,MB,During
Dingo,UOM1701,20/04/2022 4:43,PS6,20/04/2022,MB,During
Dingo,UOM1701,22/04/2022 14:33,PS6,22/04/2022,MB,During
Dingo,UOM1701,22/04/2022 21:26,PS5,22/04/2022,MB,During
Dingo,UOM1701,23/04/2022 1:59,PS6,23/04/2022,MB,During
Dingo,UOM1701,23/04/2022 15:11,PS6,23/04/2022,MB,During
Dingo,UOM1701,26/04/2022 2:58,PS6,26/04/2022,MB,During
Dingo,UOF1801,18/02/2022 6:20,PS11,18/02/2022,MB,Before
Dingo,UOF1801,18/02/2022 7:14,PS13,18/02/2022,MB,Before
Dingo,UOF1801,18/02/2022 9:06,PS14,18/02/2022,MB,Before
Dingo,UOF1801,22/02/2022 7:25,PS7,22/02/2022,MB,Before
Dingo,UOF1801,25/02/2022 8:55,PS12,25/02/2022,MB,Before
Dingo,UOF1801,1/03/2022 7:23,PS14,1/03/2022,MB,Before
Dingo,UOF1801,5/03/2022 9:50,PS12,5/03/2022,MB,Before
Dingo,UOF1801,10/03/2022 17:21,PS14,10/03/2022,MB,Before
Dingo,UOF1801,12/03/2022 9:04,PS7,12/03/2022,MB,Before
Dingo,UOF1801,22/03/2022 6:57,PS12,22/03/2022,MB,Before
Dingo,UOF1801,22/03/2022 19:00,PS14,22/03/2022,MB,Before
Dingo,UOF1801,26/03/2022 8:00,PS9,26/03/2022,MB,Before
Dingo,UOF1801,26/03/2022 12:12,PS12,26/03/2022,MB,Before
Dingo,UOF1801,28/03/2022 18:22,PS9,28/03/2022,MB,During
Dingo,UOF1801,4/04/2022 17:10,PS9,4/04/2022,MB,During
Dingo,UOF1801,4/04/2022 17:55,PS12,4/04/2022,MB,During
Dingo,UOF1801,11/04/2022 3:26,PS11,11/04/2022,MB,During
Dingo,UOF1801,11/04/2022 18:34,PS9,11/04/2022,MB,During
Dingo,UOF1801,13/04/2022 17:37,PS14,13/04/2022,MB,During
Dingo,UOF1801,16/04/2022 2:20,PS11,16/04/2022,MB,During
Dingo,UOF1801,22/04/2022 8:07,PS11,22/04/2022,MB,During
Dingo,UOF1801,22/04/2022 17:43,PS14,22/04/2022,MB,During
Dingo,UOF1801,25/04/2022 18:45,PS11,25/04/2022,MB,During
Dingo,UOF1801,25/04/2022 20:39,PS14,25/04/2022,MB,During
Dingo,UOF1801,29/04/2022 8:03,PS11,29/04/2022,MB,During
Dingo,UOF1801,2/05/2022 15:57,PS6,2/05/2022,MB,During
Dingo,UOF1801,3/05/2022 16:20,PS8,3/05/2022,MB,During
Dingo,UOF1801,4/05/2022 14:29,PS8,4/05/2022,MB,During
Dingo,UOF1801,7/05/2022 8:11,PS9,7/05/2022,MB,During
Dingo,UOF1801,8/05/2022 10:37,PS8,8/05/2022,MB,During
Dingo,UOF1801,8/05/2022 17:49,PS7,8/05/2022,MB,During
Dingo,UOF1801,13/05/2022 10:05,PS11,13/05/2022,MB,After
Dingo,UOF1801,15/05/2022 15:34,PS14,15/05/2022,MB,After
Dingo,UOF1801,18/05/2022 17:20,PS9,18/05/2022,MB,After
Dingo,UOF1801,23/05/2022 11:11,PS6,23/05/2022,MB,After
Dingo,UOF1801,24/05/2022 7:51,PS11,24/05/2022,MB,After
Dingo,UOF1801,24/05/2022 8:42,PS14,24/05/2022,MB,After
Dingo,UOF1801,25/05/2022 17:21,PS14,25/05/2022,MB,After
Dingo,UOF1801,27/05/2022 12:25,PS7,27/05/2022,MB,After
Dingo,UOF1801,29/05/2022 16:21,PS6,29/05/2022,MB,After
Dingo,PCM1601,21/02/2022 19:12,PS4,21/02/2022,SL,Before
Dingo,PCM1601,6/03/2022 0:04,PS6,6/03/2022,SL,Before
Dingo,PCM1601,10/03/2022 8:25,PS6,10/03/2022,SL,Before
Dingo,PCM1601,10/03/2022 18:42,PS7,10/03/2022,SL,Before
Dingo,PCM1601,15/03/2022 18:47,PS6,15/03/2022,SL,Before
Dingo,PCM1601,17/03/2022 14:38,PS6,17/03/2022,SL,Before
Dingo,PCM1601,22/03/2022 8:07,PS6,22/03/2022,SL,Before
Dingo,SLM2005,17/02/2022 18:08,PS5,17/02/2022,SL,Before
Dingo,SLM2005,21/02/2022 19:12,PS4,21/02/2022,SL,Before
Dingo,SLM2005,25/02/2022 18:09,PS6,25/02/2022,SL,Before
Dingo,SLM2005,8/03/2022 19:08,PS6,8/03/2022,SL,Before
Dingo,SLM2005,10/03/2022 8:26,PS6,10/03/2022,SL,Before
Dingo,SLM2005,10/03/2022 18:48,PS7,10/03/2022,SL,Before
Dingo,SLM2005,17/03/2022 14:38,PS6,17/03/2022,SL,Before
Dingo,SLM2005,22/03/2022 8:07,PS6,22/03/2022,SL,Before
Dingo,SLF2001,13/02/2022 8:15,PS17,13/02/2022,SL,Before
Dingo,SLF2001,13/02/2022 10:32,PS22,13/02/2022,SL,Before
Dingo,SLF2001,14/02/2022 14:59,PS22,14/02/2022,SL,Before
Dingo,SLF2001,15/02/2022 13:31,PS22,15/02/2022,SL,Before
Dingo,SLF2001,8/03/2022 10:22,PS3,8/03/2022,SL,Before
